Fabricated Potato Variety Trial Data for R Workshop								
Year	Loc	Rep	Genotype	PlantHeight_cm	Yield_ton_per_ha			
1	1	1	Belete	110.09	52.20			
1	1	2	Belete	105.68	51.62			
1	1	3	Belete	105.60	52.15			
1	2	1	Belete	48.95	36.88			
1	2	2	Belete	49.86	43.55			
1	2	3	Belete	52.37	39.99			
1	1	1	Siquare	14.42	8.69			
1	1	2	Siquare	52.80	29.57			
1	1	3	Siquare	95.06	60.06			
1	2	1	Siquare	70.77	29.10			
1	2	2	Siquare	65.29	32.17			
1	2	3	Siquare	49.42	30.90			
1	1	1	Abalo	103.67	48.64			
1	1	2	Abalo	100.91	33.96			
1	1	3	Abalo	87.31	55.65			
1	2	1	Abalo	68.49	27.74			
1	2	2	Abalo	62.43	40.83			
1	2	3	Abalo	59.72	31.22			
1	1	1	Samune	79.77	62.38			
1	1	2	Samune	92.69	57.00			
1	1	3	Samune	98.67	51.44			
1	2	1	Samune	47.02	34.64			
1	2	2	Samune	52.01	43.55			
1	2	3	Samune	47.25	32.25			
1	1	1	Abateneh	78.80	42.84			
1	1	2	Abateneh	91.18	49.24			
1	1	3	Abateneh	99.35	50.40			
1	2	1	Abateneh	49.70	29.86			
1	2	2	Abateneh	49.41	35.48			
1	2	3	Abateneh	49.29	37.41			
1	1	1	Agazer	120.12	40.20			
1	1	2	Agazer	117.47	50.70			
1	1	3	Agazer	129.70	56.40			
1	2	1	Agazer	60.20	37.46			
1	2	2	Agazer	53.49	44.89			
1	2	3	Agazer	48.62	39.27			
1	1	1	Nech_Ababa	90.88	33.62			
1	1	2	Nech_Ababa	88.72	62.91			
1	1	3	Nech_Ababa	101.02	57.19			
1	2	1	Nech_Ababa	53.61	32.79			
1	2	2	Nech_Ababa	52.78	34.34			
1	2	3	Nech_Ababa	62.22	31.30			
1	1	1	Key_Dinch	75.13	64.13			
1	1	2	Key_Dinch	76.66	54.57			
1	1	3	Key_Dinch	81.60	50.77			
1	2	1	Key_Dinch	50.12	29.75			
1	2	2	Key_Dinch	64.02	40.26			
1	2	3	Key_Dinch	49.62	40.38			
1	1	1	Jibut	105.70	54.76			
1	1	2	Jibut	92.44	47.85			
1	1	3	Jibut	100.08	64.79			
1	2	1	Jibut	53.13	38.13			
1	2	2	Jibut	49.29	44.37			
1	2	3	Jibut	48.33	31.42			
1	1	1	Gudene	72.86	44.49			
1	1	2	Gudene	86.66	64.76			
1	1	3	Gudene	89.71	58.42			
1	2	1	Gudene	48.34	30.18			
1	2	2	Gudene	49.10	37.15			
1	2	3	Gudene	58.90	33.47			
1	1	1	Jalene	85.82	54.27			
1	1	2	Jalene	84.60	53.06			
1	1	3	Jalene	100.37	58.73			
1	2	1	Jalene	68.36	37.23			
1	2	2	Jalene	66.87	37.63			
1	2	3	Jalene	69.27	31.87			
1	1	1	Hosana	76.31	35.93			
1	1	2	Hosana	90.29	30.58			
1	1	3	Hosana	65.37	20.01			
1	2	1	Hosana	43.90	18.43			
1	2	2	Hosana	65.64	21.54			
1	2	3	Hosana	49.91	22.14			
